stock,volume
CDR,6195
TGTX,4336
SMSMY,127052
PUTKY,64
MTBR,133200
TFI,6793
CDW,1139
PCYC,8653
SMCG,274
ECYT,9611
TFM,16754
CNSL,4387
CEA,400
CNSI,531
CEC,327
FOLD,12103
CEB,3009
CEE,330
NNRX,2500
CEF,77135
TXTR,12067
NFBK,203
RWEOY,100
TFX,3054
IPL.PR.D,118
GRPEF,2000
CEM,13033
JSHG,2220
CEL,9272
HURN,245
CEO,5553
USGT,7000
IGTE,7607
CEN,700
BCAR,930
TGB,46436
TGA,7259
BCAP,1010000
CEP,100
IXUS,12806
CNTY,4468
SURG,1254
TGD,24502
TGC,4051
GROW,202
TGE,39
CET,1982
CEW,1135
TGH,10264
CEV,100
FPAFY,1587
GANK,2500
TGI,6437
HUSA,1418
CNTO,77034
WHLM,2500
TGP,12142
RYCEY,966
HUSE,300
TGR,591
VALE.P,426551
TGT,1184423
CFD,903
TGS,9940
ELLI,26231
EPGNF,11655
CWGL,127
CFI,1658
SUTR,2618
SPCHA,10
DIIBF,135
NNVC,7213
CFN,25229
IPHI,1220
CCEGF,200
CFP,4375
VELA,129100
CFR,6098
THC,84123
MKSI,511
IPHS,2066
CFT,4747
THD,47315
MTDR,24159
RRRI,25
THG,1779
CSCTF,201
XCO.RT,169904
CFX,3360
THI,3261
THM,241147
THO,17121
OIIM,800
CGA,1400
KWK,186810
THS,1191
ELMD,250990
THR,896
FONE,1
ARI.PR.A,199
CGG,1990
HDRX,49152
CGI,5317
PCYG,684
CWHO,2100
SUSS,2484
JBHT,14627
SMCI,1759
KWR,548
SUSQ,41223
KWT,156
CGO,2853
FONR,51987
PCYO,318
MER.PR.F,400
SDRL,171209
MER.PR.E,6
MER.PR.D,1506
SUTI,2500000
TIF,48963
MER.PR.K,417
CGW,4676
SETHF,600
IPGP,2157
MCBC,22
CFFN,20176
CGX,2996
MTCN,1337
HDSN,13183
MER.PR.M,500
TIK,755
BCCI,18918
MCBI,35
CFFI,1318
SMDI,20000
TIP,15827
JBII,755
NILSY,1002
MER.PR.P,170
SMDD,3000
KXI,2845
CHA,1508
ZIGO,415
CHD,3860
AHPI,100
TIS,192
CHE,8983
GST.PR.B,1879
CHH,2406
ELNK,33523
CHI,25749
MKTX,2429
CHL,41432
GST.PR.A,401
XTEX,2003
PLMT,111
CHK,196647
MKTY,375
CHN,1234
VIVHY,2554
CDPYF,2300
VEND,21058
GASE,1000
